tx_hash,tx_fee,from,to
0x04cf798e42b0dcd30f2098e6b2476974e776a381b83921b5938203ade87c1dc4,2444791914437100,0x44eb418a966ff47f5af6f48aea6afde0bf193a8d,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae
0xcb2c8f69daece3e2ec03484f001da4d4971756b703c9e1f9eb5f7615c3bcbde2,27071488938230828,0x44eb418a966ff47f5af6f48aea6afde0bf193a8d,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae
0x7cd6ef19c5579e8142697885663a07b0822c3f103702dd70192c03041a0f4834,7448601017006520,0x44eb418a966ff47f5af6f48aea6afde0bf193a8d,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae
0x1ce58b9557dc8786eb7d44cf3e27d3c7b4ceac8b3b732b2ec3d0b3b04663bec5,7427032963160736,0x44eb418a966ff47f5af6f48aea6afde0bf193a8d,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae
0x398b2a93fbb7d392ec7e58b6e5dbbbb787b8b75915e9ee4476a4767a8ec4c212,8064047676594152,0x44eb418a966ff47f5af6f48aea6afde0bf193a8d,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae
0x430af5eb786e14cdabf59aa29bb141e6b1e1033ee2bf88577d6e3a0cbb739ce8,11990441228350800,0x44eb418a966ff47f5af6f48aea6afde0bf193a8d,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae
0x007bff31bbedd5e572986bb4c87cef8c8197589c766bc6bb14143d852b425459,9128380313220448,0x44eb418a966ff47f5af6f48aea6afde0bf193a8d,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae
0x0bc1198e2b6e87976dd573b8365c15abcc12f1659138c60f9c3d24c2cf47de87,4292716571882396,0x44eb418a966ff47f5af6f48aea6afde0bf193a8d,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae
